Ref,Val,Package,PosX,PosY,Rot,Side
"D1","DOID_ST_ESDA25P35-1U1M","DIOD_STM_ESDA25P35-1U1M",255.390000,-158.662000,0.000000,top
"D2","DIODE_DIODES_B260S1F-7","D_SOD-123F",234.650000,-61.325000,0.000000,top
"D3","DIODE_DIODES_B260S1F-7","D_SOD-123F",220.255000,-97.490000,-90.000000,top
"D4","DIODE_DIODES_B260S1F-7","D_SOD-123F",217.855000,-99.965000,-90.000000,top
"D5","DIODE_DIODES_B260S1F-7","D_SOD-123F",220.280000,-92.840000,-90.000000,top
"D6","DIODE_DIODES_B260S1F-7","D_SOD-123F",217.855000,-95.315000,-90.000000,top
"D7","DIODE_DIODES_B260S1F-7","D_SOD-123F",217.900000,-86.200000,-90.000000,top
"D8","DIODE_DIODES_B260S1F-7","D_SOD-123F",217.855000,-90.690000,-90.000000,top
"D9","DIODE_DIODES_B260S1F-7","D_SOD-123F",238.000000,-159.200000,0.000000,top
"F1","2A 3.5A 16V","PFUSE_LITTLEFUSE_1812L20016DR",252.290000,-157.112000,-90.000000,top
"IC1","IC_DIODES_AP7381-50Y-13","IC_DIODES_AP738133Y13",232.850000,-146.244000,180.000000,top
"IC2","DCP3601","SOT95P280X125-6N",225.910000,-160.512500,90.000000,top
"IC3","IC_TEXAS_NE556DR","SOIC127P600X175-14N",220.700000,-111.570000,0.000000,top
"IC4","DRV8317HREER","QFN40P400X500X80-37N-D",249.600000,-94.265000,-90.000000,top
"IC5","IC_DIODES_AP7381-33Y-13","IC_DIODES_AP738133Y13",245.347000,-156.806000,180.000000,top
"J1","CONN_GCT_USB4105-GF-A","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",259.040000,-151.912000,90.000000,top
